Pokemon_Name,Pokemon_Tier,Level,HP_Percent,Status_Effect,Pokeball_Type,Catch_Result
Weedle,Common,83,23,Paralyze,Ultra Ball,Caught
Weedle,Common,97,84,None,Ultra Ball,Escaped
Scyther,Rare,63,70,None,Ultra Ball,Escaped
Arcanine,Rare,12,53,None,Ultra Ball,Escaped
Zigzagoon,Common,97,64,None,Poke Ball,Escaped
Pidgey,Common,82,13,Paralyze,Great Ball,Caught
Caterpie,Common,45,7,None,Poke Ball,Escaped
Sentret,Common,98,63,None,Poke Ball,Escaped
Lapras,Rare,68,24,Poison,Poke Ball,Escaped
Dratini,Rare,51,85,Sleep,Ultra Ball,Caught
Rattata,Common,63,20,None,Poke Ball,Escaped
Magikarp,Common,89,90,Sleep,Poke Ball,Escaped
Groudon,Legendary,27,34,None,Great Ball,Escaped
Scyther,Rare,71,19,Sleep,Ultra Ball,Caught
Pidgey,Common,56,38,Paralyze,Ultra Ball,Caught
Poliwag,Common,25,12,None,Poke Ball,Escaped
Bagon,Rare,66,30,None,Great Ball,Escaped
Bagon,Rare,43,51,None,Great Ball,Escaped
Oddish,Common,89,16,Paralyze,Poke Ball,Caught
Gyarados,Rare,60,23,None,Poke Ball,Escaped
Aerodactyl,Rare,93,78,Poison,Great Ball,Escaped
Rayquaza,Legendary,56,52,None,Poke Ball,Escaped
Poliwag,Common,38,44,Sleep,Ultra Ball,Caught
Arcanine,Rare,97,68,None,Ultra Ball,Escaped
Aerodactyl,Rare,68,4,Sleep,Ultra Ball,Caught
Snorlax,Rare,1,38,Paralyze,Poke Ball,Escaped
Sentret,Common,49,85,None,Ultra Ball,Escaped
Bidoof,Common,81,42,None,Great Ball,Escaped
Arcanine,Rare,51,95,Sleep,Great Ball,Escaped
Gible,Rare,61,62,Poison,Great Ball,Escaped
Weedle,Common,93,65,None,Great Ball,Escaped
Zigzagoon,Common,39,22,Poison,Great Ball,Escaped
Pidgey,Common,7,56,Paralyze,Ultra Ball,Caught
Zapdos,Legendary,83,39,Sleep,Poke Ball,Escaped
Scyther,Rare,79,48,Sleep,Ultra Ball,Caught
Zigzagoon,Common,2,40,Sleep,Poke Ball,Caught
Kyogre,Legendary,10,84,None,Great Ball,Escaped
Magikarp,Common,58,71,Paralyze,Poke Ball,Escaped
Zigzagoon,Common,55,49,None,Ultra Ball,Escaped
Scyther,Rare,11,48,None,Ultra Ball,Escaped
Lapras,Rare,87,26,Sleep,Great Ball,Escaped
Rattata,Common,52,89,None,Poke Ball,Escaped
Bidoof,Common,98,33,None,Ultra Ball,Escaped
Geodude,Common,12,86,Poison,Great Ball,Escaped
Lapras,Rare,13,62,None,Great Ball,Escaped
Articuno,Legendary,24,10,None,Ultra Ball,Escaped
Rayquaza,Legendary,21,88,Sleep,Great Ball,Escaped
Gyarados,Rare,95,43,Sleep,Great Ball,Escaped
Lapras,Rare,18,59,Sleep,Great Ball,Escaped
Scyther,Rare,52,1,Paralyze,Great Ball,Caught
Pidgey,Common,13,5,Sleep,Poke Ball,Caught
Magikarp,Common,97,40,Sleep,Poke Ball,Escaped
Scyther,Rare,92,100,Paralyze,Great Ball,Escaped
Sentret,Common,95,18,Paralyze,Ultra Ball,Caught
Gible,Rare,91,18,Paralyze,Ultra Ball,Caught
Bidoof,Common,30,84,Paralyze,Ultra Ball,Caught
Bagon,Rare,45,52,None,Great Ball,Escaped
Dialga,Legendary,42,47,None,Ultra Ball,Escaped
Zigzagoon,Common,54,18,None,Ultra Ball,Caught
Giratina,Legendary,51,43,Sleep,Great Ball,Escaped
Bagon,Rare,12,26,Sleep,Ultra Ball,Caught
Bagon,Rare,87,32,None,Great Ball,Escaped
Geodude,Common,41,63,Paralyze,Great Ball,Caught
Dialga,Legendary,4,69,Paralyze,Poke Ball,Escaped
Scyther,Rare,26,63,None,Poke Ball,Escaped
Bidoof,Common,75,47,Sleep,Poke Ball,Escaped
Oddish,Common,80,61,Paralyze,Ultra Ball,Caught
Bidoof,Common,52,18,None,Great Ball,Escaped
Rayquaza,Legendary,17,64,Paralyze,Great Ball,Escaped
Weedle,Common,59,77,None,Great Ball,Escaped
Scyther,Rare,68,49,Sleep,Poke Ball,Escaped
Lapras,Rare,49,39,Sleep,Ultra Ball,Caught
Weedle,Common,58,97,Paralyze,Poke Ball,Escaped
Beldum,Rare,82,61,Sleep,Great Ball,Escaped
Sentret,Common,37,11,Sleep,Great Ball,Caught
Geodude,Common,66,100,None,Ultra Ball,Escaped
Oddish,Common,2,47,Paralyze,Poke Ball,Caught
Zubat,Common,70,18,None,Great Ball,Caught
Weedle,Common,91,41,None,Poke Ball,Escaped
Magikarp,Common,99,6,Poison,Great Ball,Escaped
Zubat,Common,45,39,Paralyze,Poke Ball,Escaped
Caterpie,Common,92,100,None,Great Ball,Escaped
Oddish,Common,20,5,Paralyze,Ultra Ball,Caught
Kyogre,Legendary,50,32,None,Poke Ball,Escaped
Geodude,Common,45,8,Paralyze,Ultra Ball,Caught
Zigzagoon,Common,15,72,None,Great Ball,Escaped
Rattata,Common,63,24,None,Great Ball,Escaped
Bidoof,Common,57,14,None,Poke Ball,Escaped
Gyarados,Rare,9,41,Sleep,Ultra Ball,Caught
Lugia,Legendary,56,39,None,Great Ball,Escaped
Oddish,Common,27,5,Sleep,Great Ball,Caught
Sentret,Common,67,9,Sleep,Ultra Ball,Caught
Articuno,Legendary,68,64,None,Great Ball,Escaped
Zubat,Common,40,26,None,Great Ball,Escaped
Aerodactyl,Rare,83,11,None,Ultra Ball,Escaped
Bagon,Rare,16,35,Poison,Poke Ball,Escaped
Geodude,Common,55,24,None,Great Ball,Escaped
Dratini,Rare,64,87,None,Ultra Ball,Escaped
Poliwag,Common,11,32,None,Poke Ball,Escaped
Geodude,Common,53,42,Sleep,Poke Ball,Escaped
Bidoof,Common,72,25,Paralyze,Great Ball,Caught
Dratini,Rare,57,46,Paralyze,Ultra Ball,Caught
Zigzagoon,Common,95,91,Poison,Great Ball,Escaped
Bidoof,Common,21,69,Poison,Ultra Ball,Caught
Aerodactyl,Rare,40,75,None,Poke Ball,Escaped
Geodude,Common,79,46,Sleep,Great Ball,Caught
Gible,Rare,41,5,None,Poke Ball,Escaped
Zubat,Common,41,9,None,Great Ball,Caught
Zigzagoon,Common,84,96,Paralyze,Poke Ball,Escaped
Snorlax,Rare,53,78,Paralyze,Poke Ball,Escaped
Zubat,Common,79,16,None,Ultra Ball,Escaped
Zubat,Common,1,33,None,Ultra Ball,Caught
Poliwag,Common,95,99,Poison,Ultra Ball,Escaped
Sentret,Common,58,30,Paralyze,Poke Ball,Caught
Scyther,Rare,67,100,None,Poke Ball,Escaped
Gyarados,Rare,61,28,Poison,Great Ball,Escaped
Poliwag,Common,27,14,Poison,Poke Ball,Caught
Sentret,Common,22,97,None,Ultra Ball,Escaped
Rattata,Common,100,89,Sleep,Ultra Ball,Caught
Bidoof,Common,56,48,Paralyze,Poke Ball,Caught
Zigzagoon,Common,44,79,None,Poke Ball,Escaped
Ho-Oh,Legendary,76,52,None,Poke Ball,Escaped
Beldum,Rare,30,42,Poison,Poke Ball,Escaped
Zigzagoon,Common,51,44,None,Great Ball,Escaped
Larvitar,Rare,59,35,None,Great Ball,Escaped
Caterpie,Common,27,17,None,Poke Ball,Caught
Geodude,Common,86,33,Sleep,Great Ball,Caught
Caterpie,Common,20,58,None,Poke Ball,Escaped
Caterpie,Common,55,66,None,Great Ball,Escaped
Aerodactyl,Rare,4,4,None,Ultra Ball,Caught
Scyther,Rare,23,22,Sleep,Poke Ball,Escaped
Zubat,Common,62,52,None,Ultra Ball,Escaped
Bidoof,Common,72,11,Paralyze,Ultra Ball,Caught
Dratini,Rare,95,50,Sleep,Poke Ball,Escaped
Bidoof,Common,13,96,None,Great Ball,Escaped
Beldum,Rare,10,92,None,Ultra Ball,Escaped
Snorlax,Rare,64,75,Sleep,Great Ball,Escaped
Geodude,Common,56,31,Paralyze,Poke Ball,Escaped
Poliwag,Common,24,72,Sleep,Poke Ball,Escaped
Weedle,Common,97,85,Poison,Poke Ball,Escaped
Geodude,Common,76,34,Sleep,Ultra Ball,Caught
Caterpie,Common,98,37,Poison,Ultra Ball,Caught
Pidgey,Common,78,85,None,Great Ball,Escaped
Dratini,Rare,96,27,None,Poke Ball,Escaped
Poliwag,Common,94,24,None,Poke Ball,Escaped
Bidoof,Common,66,53,Sleep,Great Ball,Caught
Zubat,Common,81,14,None,Ultra Ball,Caught
Bidoof,Common,84,75,None,Great Ball,Escaped
Magikarp,Common,9,77,Poison,Ultra Ball,Caught
Scyther,Rare,11,2,Poison,Great Ball,Caught
Lapras,Rare,67,76,None,Poke Ball,Escaped
Zubat,Common,17,79,None,Ultra Ball,Caught
Aerodactyl,Rare,2,50,Sleep,Ultra Ball,Caught
Giratina,Legendary,57,45,None,Ultra Ball,Escaped
Poliwag,Common,68,62,Paralyze,Ultra Ball,Caught
Dratini,Rare,35,45,None,Ultra Ball,Escaped
Dratini,Rare,43,73,None,Great Ball,Escaped
Zapdos,Legendary,87,94,None,Ultra Ball,Escaped
Ho-Oh,Legendary,20,58,Poison,Poke Ball,Escaped
Weedle,Common,96,81,None,Poke Ball,Escaped
Bidoof,Common,10,90,None,Great Ball,Escaped
Bagon,Rare,2,97,Paralyze,Ultra Ball,Caught
Poliwag,Common,95,86,None,Poke Ball,Escaped
Sentret,Common,6,72,None,Poke Ball,Escaped
Oddish,Common,100,42,Sleep,Ultra Ball,Caught
Dratini,Rare,77,86,Paralyze,Ultra Ball,Escaped
Bagon,Rare,96,58,Paralyze,Great Ball,Escaped
Pidgey,Common,7,79,Paralyze,Poke Ball,Escaped
Aerodactyl,Rare,54,94,Poison,Ultra Ball,Escaped
Zubat,Common,18,76,None,Great Ball,Escaped
Geodude,Common,60,3,Paralyze,Poke Ball,Caught
Oddish,Common,72,59,None,Ultra Ball,Escaped
Rattata,Common,59,47,Poison,Poke Ball,Escaped
Oddish,Common,31,67,None,Ultra Ball,Escaped
Weedle,Common,21,18,Paralyze,Great Ball,Caught
Zubat,Common,48,9,None,Great Ball,Escaped
Lapras,Rare,1,68,None,Poke Ball,Escaped
Bidoof,Common,29,34,None,Great Ball,Escaped
Poliwag,Common,86,58,None,Ultra Ball,Escaped
Dratini,Rare,44,17,None,Poke Ball,Escaped
Sentret,Common,83,93,Sleep,Great Ball,Escaped
Gyarados,Rare,56,57,Sleep,Ultra Ball,Escaped
Caterpie,Common,70,20,None,Great Ball,Escaped
Oddish,Common,92,41,Sleep,Great Ball,Escaped
Pidgey,Common,81,3,Paralyze,Ultra Ball,Caught
Bidoof,Common,94,67,None,Ultra Ball,Escaped
Gyarados,Rare,89,76,Sleep,Ultra Ball,Escaped
Mewtwo,Legendary,43,70,Paralyze,Poke Ball,Escaped
Mewtwo,Legendary,88,39,None,Great Ball,Escaped
Pidgey,Common,19,21,Paralyze,Ultra Ball,Caught
Pidgey,Common,76,59,None,Poke Ball,Escaped
Arcanine,Rare,2,22,None,Great Ball,Escaped
Zubat,Common,22,73,None,Poke Ball,Escaped
Poliwag,Common,36,9,None,Ultra Ball,Caught
Bagon,Rare,20,69,None,Poke Ball,Escaped
Gyarados,Rare,17,32,Paralyze,Ultra Ball,Caught
Pidgey,Common,88,26,Poison,Ultra Ball,Escaped
Rattata,Common,4,34,Sleep,Ultra Ball,Caught
Gyarados,Rare,52,28,None,Great Ball,Escaped
Chansey,Rare,37,46,None,Ultra Ball,Escaped
Weedle,Common,5,64,None,Ultra Ball,Caught
Lapras,Rare,13,4,None,Great Ball,Escaped
Lapras,Rare,45,81,Paralyze,Poke Ball,Escaped
Magikarp,Common,27,24,None,Poke Ball,Escaped
Poliwag,Common,19,89,Paralyze,Poke Ball,Escaped
Bidoof,Common,92,35,Sleep,Great Ball,Escaped
Mewtwo,Legendary,58,35,Sleep,Ultra Ball,Escaped
Gible,Rare,87,38,Paralyze,Poke Ball,Escaped
Bidoof,Common,81,12,None,Ultra Ball,Caught
Larvitar,Rare,81,93,Sleep,Great Ball,Escaped
Rattata,Common,5,29,Sleep,Poke Ball,Caught
Lapras,Rare,9,24,Poison,Poke Ball,Escaped
Geodude,Common,100,66,Paralyze,Great Ball,Escaped
Magikarp,Common,94,51,Poison,Great Ball,Escaped
Rattata,Common,35,26,None,Poke Ball,Escaped
Gible,Rare,85,87,None,Great Ball,Escaped
Poliwag,Common,57,96,None,Great Ball,Escaped
Oddish,Common,47,65,None,Great Ball,Escaped
Pidgey,Common,63,80,Sleep,Great Ball,Escaped
Arcanine,Rare,55,44,None,Ultra Ball,Escaped
Scyther,Rare,51,60,Sleep,Great Ball,Escaped
Rattata,Common,16,87,None,Poke Ball,Escaped
Bidoof,Common,59,3,None,Ultra Ball,Caught
Larvitar,Rare,27,14,Paralyze,Ultra Ball,Caught
Oddish,Common,41,51,None,Ultra Ball,Escaped
Gible,Rare,96,65,None,Ultra Ball,Escaped
Oddish,Common,53,29,None,Ultra Ball,Caught
Rattata,Common,43,37,None,Ultra Ball,Caught
Caterpie,Common,22,1,Paralyze,Poke Ball,Caught
Beldum,Rare,22,31,Paralyze,Ultra Ball,Caught
Rattata,Common,72,28,Paralyze,Great Ball,Caught
Weedle,Common,25,97,None,Poke Ball,Escaped
Sentret,Common,22,87,Sleep,Poke Ball,Escaped
Rattata,Common,60,67,None,Great Ball,Escaped
Zapdos,Legendary,86,88,Paralyze,Poke Ball,Escaped
Larvitar,Rare,83,2,None,Ultra Ball,Caught
Aerodactyl,Rare,65,23,None,Ultra Ball,Escaped
Caterpie,Common,7,34,Paralyze,Poke Ball,Caught
Lapras,Rare,34,82,Sleep,Ultra Ball,Escaped
Bidoof,Common,10,11,None,Great Ball,Caught
Zubat,Common,68,57,None,Great Ball,Escaped
Magikarp,Common,22,62,Sleep,Poke Ball,Escaped
Bidoof,Common,78,31,None,Poke Ball,Escaped
Weedle,Common,15,69,Poison,Ultra Ball,Caught
Zigzagoon,Common,76,97,None,Poke Ball,Escaped
Mewtwo,Legendary,22,46,None,Poke Ball,Escaped
Caterpie,Common,46,5,None,Ultra Ball,Caught
Zigzagoon,Common,20,60,None,Poke Ball,Escaped
Sentret,Common,71,73,Paralyze,Poke Ball,Escaped
Sentret,Common,80,74,Sleep,Ultra Ball,Escaped
Poliwag,Common,77,3,None,Poke Ball,Escaped
Rayquaza,Legendary,83,60,None,Ultra Ball,Escaped
Bidoof,Common,3,92,None,Ultra Ball,Caught
Zubat,Common,68,64,None,Ultra Ball,Escaped
Rattata,Common,62,51,None,Poke Ball,Escaped
Bidoof,Common,9,76,None,Ultra Ball,Caught
Caterpie,Common,88,47,None,Poke Ball,Escaped
Beldum,Rare,39,98,None,Great Ball,Escaped
Poliwag,Common,26,80,Paralyze,Poke Ball,Escaped
Gible,Rare,39,31,Sleep,Ultra Ball,Caught
Articuno,Legendary,19,95,None,Great Ball,Escaped
Scyther,Rare,87,26,None,Poke Ball,Escaped
Rattata,Common,82,77,Paralyze,Ultra Ball,Escaped
Bidoof,Common,33,93,Sleep,Poke Ball,Escaped
Oddish,Common,87,96,Poison,Great Ball,Escaped
Zubat,Common,16,63,None,Great Ball,Escaped
Sentret,Common,31,7,Sleep,Ultra Ball,Caught
Caterpie,Common,29,54,None,Poke Ball,Escaped
Magikarp,Common,46,76,None,Poke Ball,Escaped
Palkia,Legendary,46,1,Poison,Ultra Ball,Escaped
Zigzagoon,Common,91,58,Poison,Poke Ball,Escaped
Bagon,Rare,97,81,Poison,Poke Ball,Escaped
Rattata,Common,84,26,None,Ultra Ball,Escaped
Zigzagoon,Common,25,87,Paralyze,Ultra Ball,Caught
Mewtwo,Legendary,97,73,None,Great Ball,Escaped
Geodude,Common,56,10,Sleep,Ultra Ball,Caught
Sentret,Common,33,47,None,Ultra Ball,Caught
Magikarp,Common,9,83,Paralyze,Ultra Ball,Caught
Chansey,Rare,82,100,Sleep,Ultra Ball,Escaped
Pidgey,Common,18,68,Paralyze,Poke Ball,Escaped
Magikarp,Common,60,43,None,Poke Ball,Escaped
Gible,Rare,59,25,Paralyze,Poke Ball,Escaped
Geodude,Common,41,87,Sleep,Ultra Ball,Caught
Weedle,Common,26,32,Paralyze,Poke Ball,Escaped
Zigzagoon,Common,64,62,None,Great Ball,Escaped
Pidgey,Common,4,10,Paralyze,Poke Ball,Caught
Pidgey,Common,91,81,Paralyze,Ultra Ball,Caught
Bagon,Rare,86,10,None,Ultra Ball,Escaped
Chansey,Rare,13,99,None,Poke Ball,Escaped
Sentret,Common,46,67,None,Poke Ball,Escaped
Gyarados,Rare,97,55,None,Ultra Ball,Escaped
Weedle,Common,34,65,None,Great Ball,Escaped
Rattata,Common,31,76,Paralyze,Great Ball,Escaped
Zapdos,Legendary,93,51,None,Great Ball,Escaped
Oddish,Common,41,25,None,Ultra Ball,Escaped
Gyarados,Rare,67,87,None,Ultra Ball,Escaped
Magikarp,Common,78,42,None,Ultra Ball,Caught
Lugia,Legendary,4,83,Sleep,Poke Ball,Escaped
Dratini,Rare,63,44,None,Ultra Ball,Escaped
Arcanine,Rare,22,16,Sleep,Poke Ball,Escaped
Sentret,Common,80,45,None,Poke Ball,Escaped
Geodude,Common,68,76,None,Great Ball,Escaped
Bagon,Rare,86,14,None,Great Ball,Escaped
Zubat,Common,34,8,None,Poke Ball,Escaped
Aerodactyl,Rare,56,51,Sleep,Poke Ball,Escaped
Caterpie,Common,30,60,Paralyze,Poke Ball,Escaped
Gible,Rare,46,92,Sleep,Great Ball,Escaped
Bidoof,Common,86,79,Paralyze,Ultra Ball,Caught
Zubat,Common,15,80,Paralyze,Great Ball,Caught
Oddish,Common,80,2,Poison,Great Ball,Caught
Magikarp,Common,57,99,None,Great Ball,Escaped
Magikarp,Common,56,9,None,Ultra Ball,Caught
Caterpie,Common,3,96,Sleep,Great Ball,Caught
Gible,Rare,20,84,None,Poke Ball,Escaped
Bidoof,Common,79,37,None,Great Ball,Escaped
Sentret,Common,5,21,Paralyze,Great Ball,Caught
Caterpie,Common,64,98,None,Ultra Ball,Escaped
Zigzagoon,Common,96,81,None,Ultra Ball,Escaped
Pidgey,Common,64,73,None,Poke Ball,Escaped
Poliwag,Common,66,50,None,Poke Ball,Escaped
Geodude,Common,92,94,None,Great Ball,Escaped
Caterpie,Common,81,63,None,Poke Ball,Escaped
Mewtwo,Legendary,92,18,Sleep,Poke Ball,Escaped
Sentret,Common,59,73,None,Great Ball,Escaped
Rayquaza,Legendary,75,2,Sleep,Poke Ball,Escaped
Sentret,Common,9,81,None,Ultra Ball,Caught
Sentret,Common,10,41,None,Great Ball,Caught
Dratini,Rare,3,18,None,Great Ball,Caught
Mewtwo,Legendary,14,15,Sleep,Ultra Ball,Escaped
Aerodactyl,Rare,33,83,Sleep,Poke Ball,Escaped
Bidoof,Common,84,84,None,Ultra Ball,Escaped
Bidoof,Common,79,94,Poison,Great Ball,Escaped
Geodude,Common,84,53,None,Poke Ball,Escaped
Caterpie,Common,4,25,None,Ultra Ball,Caught
Caterpie,Common,14,52,Paralyze,Great Ball,Caught
Zubat,Common,97,69,Paralyze,Great Ball,Escaped
Rayquaza,Legendary,59,68,None,Ultra Ball,Escaped
Pidgey,Common,40,90,None,Great Ball,Escaped
Larvitar,Rare,29,92,Paralyze,Ultra Ball,Caught
Poliwag,Common,18,28,None,Poke Ball,Escaped
Beldum,Rare,49,37,None,Poke Ball,Escaped
Geodude,Common,51,14,Poison,Ultra Ball,Caught
Kyogre,Legendary,79,1,None,Poke Ball,Escaped
Caterpie,Common,27,27,None,Great Ball,Escaped
Larvitar,Rare,75,42,None,Poke Ball,Escaped
Snorlax,Rare,41,95,None,Great Ball,Escaped
Snorlax,Rare,85,86,None,Poke Ball,Escaped
Poliwag,Common,40,30,None,Poke Ball,Escaped
Lapras,Rare,82,88,None,Ultra Ball,Escaped
Arcanine,Rare,70,45,None,Poke Ball,Escaped
Gyarados,Rare,42,24,None,Ultra Ball,Escaped
Magikarp,Common,65,51,Sleep,Ultra Ball,Caught
Mewtwo,Legendary,51,42,Sleep,Ultra Ball,Escaped
Chansey,Rare,89,36,Sleep,Ultra Ball,Escaped
Dialga,Legendary,78,10,Sleep,Ultra Ball,Escaped
Groudon,Legendary,10,90,None,Great Ball,Escaped
Magikarp,Common,20,57,Poison,Ultra Ball,Caught
Caterpie,Common,37,96,None,Poke Ball,Escaped
Dialga,Legendary,44,2,None,Great Ball,Escaped
Sentret,Common,55,86,None,Ultra Ball,Escaped
Zigzagoon,Common,56,77,None,Great Ball,Escaped
Gyarados,Rare,98,61,None,Great Ball,Escaped
Arcanine,Rare,19,92,None,Great Ball,Escaped
Larvitar,Rare,37,68,None,Great Ball,Escaped
Pidgey,Common,48,8,None,Poke Ball,Escaped
Caterpie,Common,11,14,None,Ultra Ball,Caught
Weedle,Common,50,100,Paralyze,Poke Ball,Escaped
Poliwag,Common,59,28,None,Ultra Ball,Caught
Zubat,Common,7,99,Poison,Poke Ball,Escaped
Geodude,Common,64,59,None,Ultra Ball,Escaped
Zubat,Common,33,40,None,Poke Ball,Escaped
Pidgey,Common,26,32,Sleep,Poke Ball,Caught
Caterpie,Common,71,58,Paralyze,Poke Ball,Escaped
Caterpie,Common,65,98,Paralyze,Poke Ball,Escaped
Geodude,Common,9,95,None,Great Ball,Escaped
Bagon,Rare,67,45,Paralyze,Ultra Ball,Caught
Poliwag,Common,50,97,None,Great Ball,Escaped
Arcanine,Rare,68,70,Poison,Great Ball,Escaped
Pidgey,Common,68,1,Poison,Ultra Ball,Caught
Pidgey,Common,88,53,None,Great Ball,Escaped
Magikarp,Common,8,13,Poison,Ultra Ball,Caught
Sentret,Common,89,47,Paralyze,Poke Ball,Caught
Rayquaza,Legendary,11,8,None,Ultra Ball,Escaped
Bidoof,Common,96,68,Paralyze,Great Ball,Escaped
Weedle,Common,67,20,Paralyze,Great Ball,Caught
Weedle,Common,78,79,Sleep,Great Ball,Escaped
Magikarp,Common,52,21,None,Great Ball,Escaped
Lapras,Rare,48,72,Paralyze,Poke Ball,Escaped
Beldum,Rare,92,77,Sleep,Poke Ball,Escaped
Poliwag,Common,59,49,Sleep,Poke Ball,Caught
Aerodactyl,Rare,74,38,Paralyze,Great Ball,Escaped
Sentret,Common,79,50,Sleep,Ultra Ball,Caught
Aerodactyl,Rare,81,27,None,Great Ball,Escaped
Geodude,Common,53,45,Sleep,Poke Ball,Caught
Magikarp,Common,12,3,Paralyze,Great Ball,Caught
Snorlax,Rare,13,52,Sleep,Ultra Ball,Caught
Snorlax,Rare,67,67,None,Ultra Ball,Escaped
Rattata,Common,18,60,Sleep,Ultra Ball,Caught
Poliwag,Common,27,77,Poison,Ultra Ball,Caught
Aerodactyl,Rare,13,36,Paralyze,Poke Ball,Escaped
Magikarp,Common,61,45,None,Great Ball,Escaped
Gyarados,Rare,91,51,Paralyze,Great Ball,Escaped
Zubat,Common,12,15,Poison,Great Ball,Caught
Rattata,Common,60,98,None,Ultra Ball,Escaped
Poliwag,Common,76,30,None,Great Ball,Escaped
Zigzagoon,Common,80,15,Poison,Great Ball,Escaped
Scyther,Rare,51,22,Sleep,Ultra Ball,Caught
Poliwag,Common,23,47,None,Ultra Ball,Caught
Poliwag,Common,13,16,None,Poke Ball,Caught
Pidgey,Common,85,54,None,Ultra Ball,Escaped
Beldum,Rare,37,56,None,Ultra Ball,Escaped
Bagon,Rare,76,74,None,Great Ball,Escaped
Weedle,Common,41,32,Paralyze,Poke Ball,Caught
Arcanine,Rare,54,43,None,Great Ball,Escaped
Scyther,Rare,23,92,Paralyze,Ultra Ball,Caught
Sentret,Common,72,56,None,Poke Ball,Escaped
Poliwag,Common,87,53,None,Ultra Ball,Escaped
Poliwag,Common,88,59,Paralyze,Poke Ball,Escaped
Zubat,Common,87,47,Sleep,Ultra Ball,Caught
Snorlax,Rare,17,5,Poison,Great Ball,Caught
Sentret,Common,10,9,Paralyze,Ultra Ball,Caught
Lapras,Rare,42,90,Sleep,Great Ball,Escaped
Poliwag,Common,56,12,None,Ultra Ball,Caught
Aerodactyl,Rare,97,94,Paralyze,Poke Ball,Escaped
Magikarp,Common,9,18,None,Great Ball,Caught
Oddish,Common,84,56,None,Poke Ball,Escaped
Snorlax,Rare,33,65,Paralyze,Ultra Ball,Caught
Sentret,Common,46,26,Poison,Ultra Ball,Caught
Bagon,Rare,36,95,None,Great Ball,Escaped
Oddish,Common,39,6,Sleep,Great Ball,Caught
Weedle,Common,81,100,Paralyze,Ultra Ball,Caught
Dratini,Rare,90,69,None,Poke Ball,Escaped
Pidgey,Common,62,34,None,Ultra Ball,Caught
Beldum,Rare,7,7,Paralyze,Great Ball,Caught
Bagon,Rare,48,34,None,Poke Ball,Escaped
Caterpie,Common,10,93,Paralyze,Ultra Ball,Caught
Dratini,Rare,58,31,None,Poke Ball,Escaped
Zubat,Common,75,77,Paralyze,Great Ball,Escaped
